iter	Passed	Remaining
0	59	59813
1	60	30028
2	60	20138
3	60	15161
4	61	12178
5	61	10194
6	61	8775
7	62	7709
8	62	6877
9	62	6212
10	63	5668
11	63	5214
12	63	4842
13	64	4516
14	64	4232
15	64	3989
16	65	3766
17	65	3570
18	65	3392
19	66	3238
20	66	3094
21	66	2964
22	67	2848
23	67	2738
24	67	2637
25	67	2545
26	68	2461
27	68	2386
28	69	2312
29	69	2247
30	69	2181
31	70	2119
32	70	2064
33	70	2011
34	71	1960
35	71	1916
36	71	1871
37	72	1827
38	72	1786
39	72	1746
40	73	1709
41	73	1673
42	73	1639
43	74	1608
44	74	1576
45	74	1547
46	74	1520
47	75	1493
48	75	1468
49	76	1445
50	76	1420
51	76	1397
52	76	1375
53	77	1353
54	77	1334
55	78	1316
56	78	1296
57	78	1277
58	78	1259
59	79	1242
60	79	1225
61	79	1208
62	80	1194
63	80	1178
64	80	1163
65	81	1149
66	81	1136
67	81	1119
68	81	1105
69	82	1092
70	82	1079
71	82	1066
72	83	1054
73	83	1042
74	83	1032
75	84	1022
76	84	1011
77	84	1000
78	84	990
79	85	980
80	85	971
81	86	963
82	86	955
83	86	947
84	87	937
85	87	930
86	87	920
87	88	913
88	88	905
89	88	898
90	89	890
91	89	882
92	89	875
93	90	868
94	90	861
95	90	855
96	91	848
97	91	842
98	91	835
99	92	829
100	92	823
101	92	816
102	93	810
103	93	804
104	93	798
105	93	792
106	94	786
107	94	780
108	94	775
109	95	770
110	95	766
111	96	761
112	96	756
113	96	750
114	96	745
115	97	739
116	97	734
117	97	729
118	97	724
119	98	720
120	98	715
121	98	710
122	98	704
123	99	700
124	99	695
125	99	691
126	100	687
127	100	682
128	100	679
129	101	676
130	101	672
131	101	668
132	102	664
133	102	661
134	102	657
135	102	653
136	103	650
137	103	646
138	103	643
139	104	639
140	104	635
141	104	632
142	104	628
143	105	626
144	105	622
145	105	619
146	106	616
147	106	613
148	106	610
149	107	607
150	107	604
151	107	601
152	108	598
153	108	595
154	108	592
155	108	589
156	109	586
157	109	583
158	109	581
159	110	578
160	110	575
161	110	572
162	111	570
163	111	567
164	111	565
165	112	563
166	112	560
167	112	558
168	113	556
169	113	553
170	113	551
171	113	548
172	114	546
173	114	545
174	115	543
175	115	541
176	116	539
177	116	537
178	116	535
179	117	533
180	117	530
181	117	528
182	117	526
183	118	525
184	118	523
185	119	521
186	119	519
187	119	517
188	120	515
189	120	513
190	120	511
