iter	Passed	Remaining
0	55	55449
1	56	27960
2	56	18781
3	56	14157
4	57	11392
5	57	9532
6	57	8207
7	58	7217
8	58	6443
9	58	5833
10	59	5329
11	59	4908
12	59	4554
13	60	4256
14	60	3989
15	61	3754
16	61	3547
17	61	3362
18	61	3197
19	62	3051
20	62	2923
21	63	2806
22	63	2695
23	63	2593
24	64	2499
25	64	2413
26	64	2332
27	65	2257
28	65	2188
29	65	2125
30	66	2063
31	66	2007
32	66	1952
33	66	1901
34	67	1855
35	67	1811
36	67	1769
37	68	1727
38	68	1689
39	68	1654
40	69	1623
41	69	1590
42	70	1559
43	70	1529
44	70	1500
45	71	1473
46	71	1446
47	71	1420
48	72	1397
49	72	1373
50	72	1352
51	73	1333
52	73	1312
53	73	1292
54	74	1273
55	74	1255
56	74	1239
57	75	1222
58	75	1205
59	75	1188
60	76	1171
61	76	1157
62	76	1142
63	77	1128
64	77	1113
65	77	1100
66	78	1086
67	78	1074
68	78	1063
69	79	1052
70	79	1040
71	79	1030
72	80	1018
73	80	1008
74	80	997
75	81	986
76	81	975
77	81	965
78	81	955
79	82	947
80	82	937
81	83	929
82	83	918
83	83	910
84	83	902
85	84	894
86	84	886
87	84	878
88	85	872
89	85	864
90	85	857
91	86	850
92	86	844
93	86	837
94	87	831
95	87	826
96	88	820
97	88	816
98	89	810
99	89	804
100	89	798
101	90	793
102	90	787
103	90	781
104	91	776
105	91	771
106	91	766
107	92	761
108	92	756
109	92	750
110	93	746
111	93	741
112	93	737
113	94	732
114	94	727
115	94	723
116	95	718
117	95	714
118	95	709
119	96	704
120	96	700
121	96	695
122	96	691
123	97	687
124	97	683
125	98	679
126	98	675
127	98	672
128	99	669
129	99	666
130	99	662
131	100	659
132	100	656
133	101	653
134	101	649
135	101	646
136	102	643
137	102	640
138	102	636
139	103	633
140	103	630
141	103	626
142	103	622
143	104	620
144	104	617
145	105	614
146	105	611
147	105	608
148	106	605
149	106	603
150	106	600
151	107	597
152	107	594
153	107	591
154	108	589
155	108	586
156	108	583
157	108	580
158	109	578
159	109	576
160	110	573
161	110	571
162	110	568
163	111	565
164	111	563
165	111	560
166	111	558
167	112	555
168	112	553
169	112	550
170	113	548
171	113	546
